Comment,Designator,Footprint,LCSC
SFH6206-2T,U1,SMDIP-4_W9.53mm_Clearance8mm,C143678
10k,R6,R_0805_2012Metric,C17414
1k,"R2,R3",R_0805_2012Metric,C17513
2k2,"R1,R4",R_0805_2012Metric,C17520
MMBT3904,Q1,SOT-23,C20526
680,R5,R_0805_2012Metric,C23228
SS14,"D1,D2,D3",D_SOD-523,C2480
DSHP03TSGER,SW1,SMDIP-6_W7.62mm,C3293143
C_Small,C1,C_0805_2012Metric,C49678
"74HC14D,653",IC1,SOIC127P600X175-14N,C5605
Conn_02x08_Counter_Clockwise,J1,PinHeader_2x08_P2.54mm_Vertical,C68234
RJ12,"J2,J3",RJ25_Wayconn_MJEA-660X1_Horizontal,C77859
MMBT5401,Q2,SOT-23,C8326
